MSA,Population
"Abilene, TX",165252
"Akron, OH",703200
"Albany, GA",157308
"Albany, OR",116672
"Albany-Schenectady-Troy, NY",870716
"Albuquerque, NM",887077
"Alexandria, LA",153922
"Allentown-Bethlehem-Easton, PA-NJ",821173
"Altoona, PA",127089
"Amarillo, TX",251933
"Ames, IA",89542
"Anchorage, AK",380821
"Ann Arbor, MI",344791
"Anniston-Oxford-Jacksonville, AL",118572
"Appleton, WI",225666
"Asheville, NC",424858
"Athens-Clarke County, GA",192541
"Atlanta-Sandy Springs-Roswell, GA",5286728
"Atlantic City-Hammonton, NJ",274549
"Auburn-Opelika, AL",140247
"Augusta-Richmond County, GA-SC",564873
"Austin-Round Rock, TX",1716289
"Bakersfield, CA",839631
"Baltimore-Columbia-Towson, MD",2710489
"Bangor, ME",153923
"Barnstable Town, MA",215888
"Baton Rouge, LA",802484
"Battle Creek, MI",136146
"Bay City, MI",107771
"Beaumont-Port Arthur, TX",403190
"Beckley, WV",124898
"Bellingham, WA",201140
"Bend-Redmond, OR",157733
"Billings, MT",158934
"Binghamton, NY",251725
"Birmingham-Hoover, AL",1128047
"Bismarck, ND",114778
"Blacksburg-Christiansburg-Radford, VA",178237
"Bloomington, IL",186133
"Bloomington, IN",159549
"Bloomsburg-Berwick, PA",85562
"Boise City, ID",616561
"Boston-Cambridge-Newton, MA-NH",4552402
"Boulder, CO/1",294567
"Bowling Green, KY",158599
"Bremerton-Silverdale, WA",251133
"Bridgeport-Stamford-Norwalk, CT",916829
"Brownsville-Harlingen, TX",406220
"Brunswick, GA",112370
"Buffalo-Cheektowaga-Niagara Falls, NY",1135509
"Burlington, NC",151131
"Burlington-South Burlington, VT",211261
"California-Lexington Park, MD",105151
"Canton-Massillon, OH",404422
"Cape Coral-Fort Myers, FL",618754
"Cape Girardeau, MO-IL",96275
"Carbondale-Marion, IL",126575
"Carson City, NV",55274
"Casper, WY",75450
"Cedar Rapids, IA",257940
"Chambersburg-Waynesboro, PA",149618
"Champaign-Urbana, IL",231891
"Charleston, WV",227078
"Charleston-North Charleston, SC",664607
"Charlotte-Concord-Gastonia, NC-SC",2217012
"Charlottesville, VA",218705
"Chattanooga, TN-GA",528143
"Cheyenne, WY",91738
"Chicago-Naperville-Elgin, IL-IN-WI",9461105
"Chico, CA",220000
"Cincinnati, OH-KY-IN",2114580
"Clarksville, TN-KY",260625
"Cleveland, TN",115788
"Cleveland-Elyria, OH",2077240
"Coeur d'Alene, ID",138494
"College Station-Bryan, TX",228660
"Colorado Springs, CO",645613
"Columbia, MO",162642
"Columbia, SC",767598
"Columbus, GA-AL",294865
"Columbus, IN",76794
"Columbus, OH",1901974
"Corpus Christi, TX",428185
"Corvallis, OR",85579
"Crestview-Fort Walton Beach-Destin, FL",235865
"Cumberland, MD-WV",103299
"Dallas-Fort Worth-Arlington, TX",6426214
"Dalton, GA",142227
"Danville, IL",81625
"Daphne-Fairhope-Foley, AL",182265
"Davenport-Moline-Rock Island, IA-IL",379690
"Dayton, OH",799232
"Decatur, AL",153829
"Decatur, IL",110768
"Deltona-Daytona Beach-Ormond Beach, FL",590289
"Denver-Aurora-Lakewood, CO/1",2543482
"Des Moines-West Des Moines, IA",569633
"Detroit-Warren-Dearborn, MI",4296250
"Dothan, AL",145639
"Dover, DE",162310
"Dubuque, IA",93653
"Duluth, MN-WI",279771
"Durham-Chapel Hill, NC",504357
"East Stroudsburg, PA",169842
"Eau Claire, WI",161151
"El Centro, CA",174528
"Elizabethtown-Fort Knox, KY",148338
"Elkhart-Goshen, IN",197559
"Elmira, NY",88830
"El Paso, TX",804123
"Erie, PA",280566
"Eugene, OR",351715
"Evansville, IN-KY",311552
"Fairbanks, AK",97581
"Fargo, ND-MN",208777
"Farmington, NM",130044
"Fayetteville, NC",366383
"Fayetteville-Springdale-Rogers, AR-MO",463204
"Flagstaff, AZ",134421
"Flint, MI",425790
"Florence, SC",205566
"Florence-Muscle Shoals, AL",147137
"Fond du Lac, WI",101633
"Fort Collins, CO",299630
"Fort Smith, AR-OK",280467
"Fort Wayne, IN",416257
"Fresno, CA",930450
"Gadsden, AL",104430
"Gainesville, FL",264275
"Gainesville, GA",179684
"Gettysburg, PA",101407
"Glens Falls, NY",128923
"Goldsboro, NC",122623
"Grand Forks, ND-MN",98461
"Grand Island, NE",81850
"Grand Junction, CO",146723
"Grand Rapids-Wyoming, MI",988938
"Grants Pass, OR",82713
"Great Falls, MT",81327
"Greeley, CO/1",252825
"Green Bay, WI",306241
"Greensboro-High Point, NC",723801
"Greenville, NC",168148
"Greenville-Anderson-Mauldin, SC",824112
"Gulfport-Biloxi-Pascagoula, MS",370702
"Hagerstown-Martinsburg, MD-WV",251599
"Hammond, LA",121097
"Hanford-Corcoran, CA",152982
"Harrisburg-Carlisle, PA",549475
"Harrisonburg, VA",125228
"Hartford-West Hartford-East Hartford, CT",1212381
"Hattiesburg, MS",142842
"Hickory-Lenoir-Morganton, NC",365497
"Hilton Head Island-Bluffton-Beaufort, SC",187010
"Hinesville, GA",77917
"Homosassa Springs, FL",141236
"Hot Springs, AR",96024
"Houma-Thibodaux, LA",208178
"Houston-The Woodlands-Sugar Land, TX",5920416
"Huntington-Ashland, WV-KY-OH",364908
"Huntsville, AL",417593
"Idaho Falls, ID",133265
"Indianapolis-Carmel-Anderson, IN",1887877
"Iowa City, IA",152586
"Ithaca, NY",101564
"Jackson, MI",160248
"Jackson, MS",567122
"Jackson, TN",130011
"Jacksonville, FL",1345596
"Jacksonville, NC",177772
"Janesville-Beloit, WI",160331
"Jefferson City, MO",149807
"Johnson City, TN",198716
"Johnstown, PA",143679
"Jonesboro, AR",121026
"Joplin, MO",175518
"Kahului-Wailuku-Lahaina, HI",154924
"Kalamazoo-Portage, MI",326589
"Kankakee, IL",113449
"Kansas City, MO-KS",2009342
"Kennewick-Richland, WA",253340
"Killeen-Temple, TX",405300
"Kingsport-Bristol-Bristol, TN-VA",309544
"Kingston, NY",182493
"Knoxville, TN",837571
"Kokomo, IN",82752
"La Crosse-Onalaska, WI-MN",133665
"Lafayette, LA",466750
"Lafayette-West Lafayette, IN",201789
"Lake Charles, LA",199607
"Lake Havasu City-Kingman, AZ",200186
"Lakeland-Winter Haven, FL",602095
"Lancaster, PA",519445
"Lansing-East Lansing, MI",464036
"Laredo, TX",250304
"Las Cruces, NM",209233
"Las Vegas-Henderson-Paradise, NV",1951269
"Lawrence, KS",110826
"Lawton, OK",130291
"Lebanon, PA",133568
"Lewiston, ID-WA",60888
"Lewiston-Auburn, ME",107702
"Lexington-Fayette, KY",472099
"Lima, OH",106331
"Lincoln, NE",302157
"Little Rock-North Little Rock-Conway, AR",699757
"Logan, UT-ID",125442
"Longview, TX",214369
"Longview, WA",102410
"Los Angeles-Long Beach-Anaheim, CA",12828837
"Louisville/Jefferson County, KY-IN",1235708
"Lubbock, TX",290805
"Lynchburg, VA",252634
"Macon, GA",232293
"Madera, CA",150865
"Madison, WI",605435
"Manchester-Nashua, NH",400721
"Manhattan, KS",92719
"Mankato-North Mankato, MN",96740
"Mansfield, OH",124475
"McAllen-Edinburg-Mission, TX",774769
"Medford, OR",203206
"Memphis, TN-MS-AR",1324829
"Merced, CA",255793
"Miami-Fort Lauderdale-West Palm Beach, FL",5564635
"Michigan City-La Porte, IN",111467
"Midland, MI",83629
"Midland, TX",141671
"Milwaukee-Waukesha-West Allis, WI",1555908
"Minneapolis-St. Paul-Bloomington, MN-WI",3348859
"Missoula, MT",109299
"Mobile, AL",412992
"Modesto, CA",514453
"Monroe, LA",176441
"Monroe, MI",152021
"Montgomery, AL",374536
"Morgantown, WV",129709
"Morristown, TN",113951
"Mount Vernon-Anacortes, WA",116901
"Muncie, IN",117671
"Muskegon, MI",172188
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",376722
"Napa, CA",136484
"Naples-Immokalee-Marco Island, FL",321520
"Nashville-Davidson--Murfreesboro--Franklin, TN",1670890
"New Bern, NC",126802
"New Haven-Milford, CT",862477
"New Orleans-Metairie, LA",1189866
"New York-Newark-Jersey City, NY-NJ-PA",19567410
"Niles-Benton Harbor, MI",156813
"North Port-Sarasota-Bradenton, FL",702281
"Norwich-New London, CT",274055
"Ocala, FL",331298
"Ocean City, NJ",97265
"Odessa, TX",137130
"Ogden-Clearfield, UT",597159
"Oklahoma City, OK",1252987
"Olympia-Tumwater, WA",252264
"Omaha-Council Bluffs, NE-IA",865350
"Orlando-Kissimmee-Sanford, FL",2134411
"Oshkosh-Neenah, WI",166994
"Owensboro, KY",114752
"Oxnard-Thousand Oaks-Ventura, CA",823318
"Palm Bay-Melbourne-Titusville, FL",543376
"Panama City, FL",184715
"Parkersburg-Vienna, WV",92673
"Pensacola-Ferry Pass-Brent, FL",448991
"Peoria, IL",379186
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5965343
"Phoenix-Mesa-Scottsdale, AZ",4192887
"Pine Bluff, AR",100258
"Pittsburgh, PA",2356285
"Pittsfield, MA",131219
"Pocatello, ID",82839
"Portland-South Portland, ME",514098
"Portland-Vancouver-Hillsboro, OR-WA",2226009
"Port St. Lucie, FL",424107
"Prescott, AZ",211033
"Providence-Warwick, RI-MA",1600852
"Provo-Orem, UT",526810
"Pueblo, CO",159063
"Punta Gorda, FL",159978
"Racine, WI",195408
"Raleigh, NC",1130490
"Rapid City, SD",134598
"Reading, PA",411442
"Redding, CA",177223
"Reno, NV",425417
"Richmond, VA",1208101
"Riverside-San Bernardino-Ontario, CA",4224851
"Roanoke, VA",308707
"Rochester, MN",206877
"Rochester, NY",1079671
"Rockford, IL",349431
"Rocky Mount, NC",152392
"Rome, GA",96317
"Sacramento--Roseville--Arden-Arcade, CA",2149127
"Saginaw, MI",200169
"St. Cloud, MN",189093
"St. George, UT",138115
"St. Joseph, MO-KS",127329
"St. Louis, MO-IL",2787701
"Salem, OR",390738
"Salinas, CA",415057
"Salisbury, MD-DE",373802
"Salt Lake City, UT",1087873
"San Angelo, TX",111823
"San Antonio-New Braunfels, TX",2142508
"San Diego-Carlsbad, CA",3095313
"San Francisco-Oakland-Hayward, CA",4335391
"San Jose-Sunnyvale-Santa Clara, CA",1836911
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",269637
"Santa Cruz-Watsonville, CA",262382
"Santa Fe, NM",144170
"Santa Maria-Santa Barbara, CA",423895
"Santa Rosa, CA",483878
"Savannah, GA",347611
"Scranton--Wilkes-Barre--Hazleton, PA",563631
"Seattle-Tacoma-Bellevue, WA",3439809
"Sebastian-Vero Beach, FL",138028
"Sebring, FL",98786
"Sheboygan, WI",115507
"Sherman-Denison, TX",120877
"Shreveport-Bossier City, LA",439811
"Sierra Vista-Douglas, AZ",131346
"Sioux City, IA-NE-SD",168563
"Sioux Falls, SD",228261
"South Bend-Mishawaka, IN-MI",319224
"Spartanburg, SC",313268
"Spokane-Spokane Valley, WA",527753
"Springfield, IL",210170
"Springfield, MA",621570
"Springfield, MO",436712
"Springfield, OH",138333
"State College, PA",153990
"Staunton-Waynesboro, VA",118502
"Stockton-Lodi, CA",685306
"Sumter, SC",107456
"Syracuse, NY",662577
"Tallahassee, FL",367413
"Tampa-St. Petersburg-Clearwater, FL",2783243
"Terre Haute, IN",172425
"Texarkana, TX-AR",149198
"The Villages, FL",93420
"Toledo, OH",610001
"Topeka, KS",233870
"Trenton, NJ",366513
"Tucson, AZ",980263
"Tulsa, OK",937478
"Tuscaloosa, AL",230162
"Tyler, TX",209714
"Urban Honolulu, HI",953207
"Utica-Rome, NY",299397
"Valdosta, GA",139588
"Vallejo-Fairfield, CA",413344
"Victoria, TX",94003
"Vineland-Bridgeton, NJ",156898
"Virginia Beach-Norfolk-Newport News, VA-NC",1676822
"Visalia-Porterville, CA",442179
"Waco, TX",252772
"Walla Walla, WA",62859
"Warner Robins, GA",179605
"Washington-Arlington-Alexandria, DC-VA-MD-WV",5636232
"Waterloo-Cedar Falls, IA",167819
"Watertown-Fort Drum, NY",116229
"Wausau, WI",134063
"Weirton-Steubenville, WV-OH",124454
"Wenatchee, WA",110884
"Wheeling, WV-OH",147950
"Wichita, KS",630919
"Wichita Falls, TX",151306
"Williamsport, PA",116111
"Wilmington, NC",254884
"Winchester, VA-WV",128472
"Winston-Salem, NC",640595
"Worcester, MA-CT",916980
"Yakima, WA",243231
"York-Hanover, PA",434972
"Youngstown-Warren-Boardman, OH-PA",565773
"Yuba City, CA",166892
"Yuma, AZ",195751